baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yadC	197.429149578549	4.46454040556913	0.296288965510771	15.0681966770944	2.62171757334017e-51	7.15354366439962e-50
ybeF	240.26194731611	4.70699654448329	0.312948998614344	15.040778418607	3.96855891983344e-51	1.07616539103878e-49
nikD	213.045873472592	-6.04706328064777	0.402471103036182	-15.0248383921967	5.04843132080952e-51	1.3605986989151e-49
edd	871.221636454322	-3.26797138124267	0.217845308912382	-15.0013392418611	7.19527132958839e-51	1.92736749700499e-49
pstS	735.269021523816	2.74540742537902	0.18316353247393	14.9888320469566	8.68673662350723e-51	2.31277781739802e-49
ppnN	815.373753102717	-2.49699633004598	0.166726667039316	-14.9765863756945	1.04445557673796e-50	2.76403213771678e-49
ycfJ	312.810753656338	2.87250954797824	0.192143539201772	14.9498107503984	1.56192426143109e-50	4.10870256315377e-49
flgG	1914.62414499984	-3.50620917513413	0.23476780682683	-14.9347954582222	1.95673582102899e-50	5.1166312272502e-49
napF	269.79313456283	-4.61076718087564	0.30877313256785	-14.9325400902958	2.02406588653182e-50	5.26137363286052e-49
nuoC	2564.10220239509	-2.49886467480455	0.167573868349348	-14.9120187975554	2.7530128587438e-50	7.11410911085971e-49
ymgF	240.331821201326	3.60484124314401	0.241801228131146	14.9082834318312	2.91141461381161e-50	7.47944116869849e-49
ynfK	337.379405153714	-3.56338286061585	0.239114573814556	-14.9024076774986	3.17913760465176e-50	8.11973924257859e-49
waaH	237.615163061847	4.00819695404819	0.269161396100646	14.8914257843626	3.7469306352719e-50	9.51460478656039e-49
ydeP	481.389811723	4.38636332877739	0.294835282212947	14.877335222076	4.62559312761777e-50	1.16782934538074e-48
yjeJ	191.061781737422	4.01935694056933	0.271128252028995	14.8245596336433	1.01644289337025e-49	2.55156207461458e-48
ydjE	294.678140231288	4.40392538051769	0.297550213239166	14.800612416224	1.45154957783826e-49	3.62310073604744e-48
napC	285.630187623213	-4.28703553488498	0.289894020412913	-14.7882854871539	1.74338312628333e-49	4.32693902472467e-48
intS	348.786489260761	3.29722365227501	0.223734104184165	14.7372420682049	3.71655083705374e-49	9.1723639478523e-48
wcaE	259.539202435558	7.10973807524169	0.482480992475342	14.7357889453128	3.79736623704188e-49	9.31945803314245e-48
