Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yoaE	334.991000045785	-0.289356661939476	0.159613296126161	-1.81286063856963	0.0698533184893637	0.122919532096254
yejL	1292.27629064659	0.519113101133648	0.286466368236835	1.81212581542722	0.0699667583344868	0.123037478456935
lyxK	16.4947695752933	-0.800259680276965	0.44162859933468	-1.81206489227049	0.0699761702567008	0.123037478456935
kdgK	706.701855548111	-0.493380394376912	0.272677020777043	-1.80939483998664	0.0703896842410573	0.123715202605495
chiA	704.336855844933	0.232187958104043	0.128388585933847	1.80847819465571	0.0705321075527705	0.123916114026549
yfbU	801.002058725595	-0.482455913450059	0.267148233261325	-1.80594835893269	0.0709264063481228	0.124559202861564
comR	219.481928631865	0.364602363214475	0.20192663783992	1.80561795667354	0.0709780358437772	0.124600231779916
gabP	126.353980254845	0.425655882260121	0.23577559536825	1.80534326122813	0.0710209839069524	0.124625994053283
yfcQ	36.6957594160978	0.581302520010052	0.322147402302901	1.80446129894128	0.0711590209250983	0.124818529342552
rlmH	800.724762550689	0.345932754444578	0.191913151444014	1.80254845403597	0.0714591585031721	0.125295135513915
ybjJ	309.399780886199	-0.287343706458924	0.159448639388029	-1.80210823724656	0.0715283779773327	0.12536663623224
ydiB	53.2988767072524	-0.521512925966421	0.28971337791153	-1.80009956642622	0.0718449180643773	0.125871382681946
talB	9770.63778852994	-0.294106882953756	0.163471998591598	-1.79912697885663	0.0719985968916316	0.126090510567466
gph	387.270300594079	-0.311277285452092	0.173060272253336	-1.79866402265001	0.07207184325644	0.126168659680059
dgkA	521.276664399822	-0.284561564217881	0.158243503965511	-1.79825115778466	0.072137215917745	0.126232968545224
yqiD	494.075693089681	-0.732255374954574	0.407343827532017	-1.79763464047339	0.07223492512069	0.12633045925703
ilvY	571.548016769479	-0.422241823746574	0.234900078537106	-1.79753802713129	0.0722502467756289	0.12633045925703
glmU	6460.89167070617	0.445684980050319	0.248090485027312	1.79646139996564	0.072421166365014	0.126579104415933
yjcO	369.665220638036	0.31603313968664	0.176179202536641	1.79381638204947	0.0728424812898776	0.127265024782315
pepD	2916.95008646887	-0.20292957085373	0.113298986154766	-1.79109785304282	0.0732775936410439	0.127974497927782
rhtA	258.499934845577	0.296056272408474	0.165323914636443	1.79076495411762	0.0733310213725298	0.128017086023806
yegJ	203.091720759458	0.417690237695283	0.233302961739319	1.79033405569017	0.0734002245857118	0.128087169427481
ilvA	160.826455966988	-0.342576998411715	0.191480980540188	-1.78909151940453	0.0736000777302251	0.128385097995581
hisR	21574.3042547209	0.628580171567294	0.3514563056631	1.78850161866164	0.073695114739487	0.12850002601727
lipB	501.380238593464	0.41087638314264	0.229805934410931	1.78792764510565	0.0737876820645454	0.128610558537175
gspF	99.6995187057637	-0.401682331076549	0.224711603523821	-1.78754601354606	0.0738492821227049	0.128667049643037
metG	1338.66106988273	-0.228797535417995	0.128339645463146	-1.78275025298941	0.0746269670025268	0.129970632377376
pmbA	962.051071929613	-0.427749515701552	0.240098010327431	-1.78156210090293	0.0748206694036632	0.130256520825967
recE	305.558372987463	0.283981614418374	0.159443844297033	1.78107606267531	0.0749000256459498	0.130343195044353
insC-6	233.766528457581	-0.304956743361704	0.171298022110817	-1.78027007903465	0.0750317713867263	0.130482225637285
dut	908.918750884136	0.278726276097702	0.156567991039445	1.78022515488163	0.0750391202337837	0.130482225637285
kefC	117.483156744371	-0.360577853907237	0.203119894772293	-1.77519712833379	0.0758653437363277	0.131866890847686
mak	144.592890813162	-0.357451495543239	0.20147237252038	-1.77419608987372	0.0760307207684217	0.132102253506978
xapA	26.3998981751631	0.556856568126313	0.31408689608987	1.77293791959719	0.0762389943708841	0.132378347221397
carA	126.489540655827	0.346938048514349	0.195692511982267	1.7728733971476	0.076249687748441	0.132378347221397
ybhK	1714.51961017901	0.275066061781998	0.155196047852946	1.7723780056734	0.0763318302889933	0.132468782643261
ycaI	599.218690940207	0.25431700172888	0.143535625781733	1.77180404059134	0.0764270916175034	0.132581904702855
eutC	74.3877453282004	-0.395232373689375	0.223194798214481	-1.77079563166868	0.0765946926295995	0.132735418091279
rfbD	3857.58677892859	0.302126436723396	0.170622455662697	1.77073079595495	0.0766054787920427	0.132735418091279
rplR	26479.2094368788	-0.257058684921305	0.145171175726207	-1.77072813273978	0.0766059218748219	0.132735418091279
rutC	29.1520474395995	-0.567525777396079	0.320618088776284	-1.77009905948281	0.0767106402125075	0.132864637350386
yddB	297.098453952928	0.274209253250392	0.154960054013521	1.7695479973598	0.0768024683319016	0.132971437708964
insA-6	684.94873526189	0.273239799710772	0.154603915646467	1.76735368291441	0.0771690146300112	0.133553598935646
intA	687.943310719796	0.271161711528564	0.153445128329965	1.76715751408845	0.0772018526871348	0.133557993188732
yeaC	413.331241510219	-0.456136911652141	0.25820512351499	-1.76656801167488	0.0773006021022514	0.133676364875137
ibaG	1058.07336956389	0.312026180388108	0.176670765032873	1.76614495516589	0.0773715330481655	0.133746555951496
fdrA	13.5665551728374	0.768529922913415	0.435404073304705	1.76509585011526	0.0775476580161302	0.133998461989456
tfaX	240.222854212974	0.347878444659921	0.19745287215289	1.76183025785796	0.0780979808267734	0.134896512337154
sohB	2135.91867502504	0.27890920201386	0.158649891661356	1.75801697116316	0.0787446217152661	0.135939765607529
yibN	2358.30802321789	0.374409018646572	0.212985903789984	1.75790515702748	0.0787636482217853	0.135939765607529
allE	192.999380917308	0.348018460430785	0.198001025822884	1.75765988577299	0.0788053971473334	0.135958587328942
paaJ	108.3711198813	-0.597254064785804	0.339988138713545	-1.75669088646947	0.078970511776244	0.136190147069516
livG	40.0552504254423	-0.499945038056351	0.284624468521815	-1.75650758577713	0.079001777304097	0.13619078387034
